parts_id,Line,Part,Description,Loc,Mfg,QOH,Qty  Available,Retail,Committed Qty,Seq #,Retail Alt,Repl Cost,Repl Cost Alt,Avg Cost Prc
29,ACL,1058,HEAT BOLT---SINGLE,,,1,1,3.04,0,2000,3.04,1.75,1.75,1.75
30,ACL,1071,VALVE COVER GAS,,,3,3,19.37,0,2300,19.37,8,8,7.767
31,ACL,1073,VALVE COVER GASKET,,,1,1,14.4,0,2600,14.4,9.36,9.36,9.36
32,ACL,1075,VALVE COVER GASEKT,,,0,0,26.01,0,2900,26.01,12.75,12.75,12.75
33,ACL,1080,VALVE COVER GSK,,,1,1,21.43,0,3200,21.43,10.5,10.5,10.5
34,ACL,1081,VALVE COVER GSK,,,0,0,248.31,0,3500,248.31,161.4,161.4,161.4
35,ACL,1082,VALVE COVER GSK,,,0,0,,0,3900,,17.34,17.34,17.34
36,ACL,1083,VALVE COVER GASKET W/Engine BRM,,,1,1,33.3,0,4200,33.3,16.32,16.32,16.32
37,ACL,1084,038103483D VALVE COVER GASKET,,,2,2,26.86,0,4500,26.86,9.18,9.18,9.18
38,ACL,1088,Engine Oil Cap/Includes Seal,,,1,1,11.43,0,4800,11.43,1.5,1.5,1.5
39,ACL,1096,OIL PAN,,,1,1,114,0,5100,114,50,50,50
40,ACL,1099,OIL PAN,,,0,0,135,0,5200,135,90,90,90
41,ACL,1102,Oil Pan Gasket,,,0,0,28.57,0,5500,28.57,15,15,15
42,ACL,1105,058103609 OIL PAN GASKET,,,1,1,31.77,0,5800,31.77,14.456,14.456,12.24
43,ACL,1118,DIPSTICK FUNNEL,,,1,1,15,0,6100,15,5.75,5.75,5.75
44,ACL,1119,Dipstick Funnel,,,1,1,6.43,0,6400,6.43,2.75,2.75,2.75
45,ACL,1121,Dipstick Funnel,,,1,1,5.09,0,6700,5.09,1.75,1.75,1.2
46,ACL,1123,06A103663C D/FU,,,1,1,10.71,0,7000,10.71,2.3,2.3,2.3
47,ACL,1124,FUNNEL DIP STICK,,,1,1,4.62,0,7100,4.62,3,3,3
48,ACL,1128,DIPSTICK,,,0,0,12.23,0,7400,12.23,4.08,4.08,4.08
49,ACL,1129,Dipstick,,,1,1,8,0,7500,8,4,4,4
50,ACL,1131,DIPSTICK,,,0,0,6.4,0,7900,6.4,4.16,4.16,4.16
51,ACL,1140,BREATHER TUBE,,,1,1,31.38,0,8300,31.38,20.4,20.4,20.4
52,ACL,1141,Breather Hose,,,1,1,45.21,0,8600,45.21,18,18,21.42
53,ACL,1145,BREATHER HOSE,,,0,0,16.48,0,8900,16.48,10.71,10.71,10.71
54,ACL,1146,BREATHER HOSE,,,1,1,45,0,9200,45,20,20,20
55,ACL,1148,BREATHER HOSE,,ACL,1,1,103.57,0,9500,103.57,51.75,51.75,51.75
56,ACL,1149,3 WAY TURBO2PCV,,,1,1,28.5,0,9800,28.5,14.14,14.14,14.14
57,ACL,1150,BREATHER T HOSE,,,0,0,11.95,0,10100,11.95,7.77,7.77,7.77
58,ACL,1152,AIR BREATHER,,,0,0,31.38,0,10400,31.38,20.4,20.4,20.4
59,ACL,1160,HOSE 06A133240,,,1,1,31.87,0,10700,31.87,15.3,15.3,15.3
60,ACL,1219,Crankshaft Bolt,,,2,2,6.43,0,11000,6.43,2.25,2.25,2.25
61,ACL,1223,CAM CHAIN TENSIONER  058109088K,,,0,0,425.71,0,11300,425.71,167.26,167.26,167.26
62,ACL,1245,Timing Belt,,,0,0,27.46,0,11400,27.46,17.85,17.85,17.85
63,ACL,1270,Timing Belt Tensioner,,,0,0,42.37,0,11500,42.37,27.54,27.54,27.54
64,ACL,1282,Timing Belt Tensioner,,,1,1,109.34,0,11800,109.34,42,42,42
